port,TCP,TCPflag,UDP
185,Cerrado,RA,Cerrado
186,Cerrado,RA,Cerrado
187,Cerrado,RA,Cerrado
188,Cerrado,RA,Cerrado
189,Cerrado,RA,Cerrado
190,Cerrado,RA,Cerrado
191,Cerrado,RA,Cerrado
192,Cerrado,RA,Cerrado
193,Cerrado,RA,Cerrado
194,Cerrado,RA,Cerrado
195,Cerrado,RA,Cerrado
196,Cerrado,RA,Cerrado
197,Cerrado,RA,Cerrado
198,Cerrado,RA,Cerrado
199,Cerrado,RA,Cerrado
200,Cerrado,RA,Cerrado
201,Cerrado,RA,Cerrado
202,Cerrado,RA,Cerrado
203,Cerrado,RA,Cerrado
204,Cerrado,RA,Cerrado
205,Cerrado,RA,Cerrado
206,Cerrado,RA,Cerrado
207,Cerrado,RA,Cerrado
208,Cerrado,RA,Cerrado
209,Cerrado,RA,Cerrado
210,Cerrado,RA,Cerrado
211,Cerrado,RA,Cerrado
212,Cerrado,RA,Cerrado
213,Cerrado,RA,Cerrado
214,Cerrado,RA,Cerrado
215,Cerrado,RA,Cerrado
216,Cerrado,RA,Cerrado
217,Cerrado,RA,Cerrado
218,Cerrado,RA,Cerrado
219,Cerrado,RA,Cerrado
220,Cerrado,RA,Cerrado
221,Cerrado,RA,Cerrado
222,Cerrado,RA,Cerrado
223,Cerrado,RA,Cerrado
224,Cerrado,RA,Cerrado
225,Cerrado,RA,Cerrado
226,Cerrado,RA,Cerrado
227,Cerrado,RA,Cerrado
228,Cerrado,RA,Cerrado
229,Cerrado,RA,Cerrado
230,Cerrado,RA,Cerrado
231,Cerrado,RA,Cerrado
232,Cerrado,RA,Cerrado
233,Cerrado,RA,Cerrado
234,Cerrado,RA,Cerrado
235,Cerrado,RA,Cerrado
236,Cerrado,RA,Cerrado
237,Cerrado,RA,Cerrado
238,Cerrado,RA,Cerrado
239,Cerrado,RA,Cerrado
240,Cerrado,RA,Cerrado
241,Cerrado,RA,Cerrado
242,Cerrado,RA,Cerrado
243,Cerrado,RA,Cerrado
244,Cerrado,RA,Cerrado
245,Cerrado,RA,Cerrado
246,Cerrado,RA,Cerrado
247,Cerrado,RA,Cerrado
248,Cerrado,RA,Cerrado
249,Cerrado,RA,Cerrado
250,Cerrado,RA,Cerrado
251,Cerrado,RA,Cerrado
