port,TCP,TCPflag,UDP
152,Filtrado,none,Abierto | Filtrado
153,Filtrado,none,Abierto | Filtrado
154,Filtrado,none,Abierto | Filtrado
155,Filtrado,none,Abierto | Filtrado
156,Filtrado,none,Abierto | Filtrado
157,Filtrado,none,Abierto | Filtrado
158,Filtrado,none,Abierto | Filtrado
159,Filtrado,none,Abierto | Filtrado
160,Filtrado,none,Abierto | Filtrado
161,Filtrado,none,Abierto | Filtrado
162,Filtrado,none,Abierto | Filtrado
163,Filtrado,none,Abierto | Filtrado
164,Filtrado,none,Abierto | Filtrado
165,Filtrado,none,Abierto | Filtrado
166,Filtrado,none,Abierto | Filtrado
167,Filtrado,none,Abierto | Filtrado
168,Filtrado,none,Abierto | Filtrado
169,Filtrado,none,Abierto | Filtrado
170,Filtrado,none,Abierto | Filtrado
171,Filtrado,none,Abierto | Filtrado
172,Filtrado,none,Abierto | Filtrado
173,Filtrado,none,Abierto | Filtrado
174,Filtrado,none,Abierto | Filtrado
175,Filtrado,none,Abierto | Filtrado
176,Filtrado,none,Abierto | Filtrado
177,Filtrado,none,Abierto | Filtrado
178,Filtrado,none,Abierto | Filtrado
179,Filtrado,none,Abierto | Filtrado
180,Filtrado,none,Abierto | Filtrado
181,Filtrado,none,Abierto | Filtrado
182,Filtrado,none,Abierto | Filtrado
183,Filtrado,none,Abierto | Filtrado
184,Filtrado,none,Abierto | Filtrado
185,Filtrado,none,Abierto | Filtrado
186,Filtrado,none,Abierto | Filtrado
187,Filtrado,none,Abierto | Filtrado
188,Filtrado,none,Abierto | Filtrado
189,Filtrado,none,Abierto | Filtrado
190,Filtrado,none,Abierto | Filtrado
191,Filtrado,none,Abierto | Filtrado
192,Filtrado,none,Abierto | Filtrado
193,Filtrado,none,Abierto | Filtrado
194,Filtrado,none,Abierto | Filtrado
195,Filtrado,none,Abierto | Filtrado
196,Filtrado,none,Abierto | Filtrado
197,Filtrado,none,Abierto | Filtrado
198,Filtrado,none,Abierto | Filtrado
199,Filtrado,none,Abierto | Filtrado
200,Filtrado,none,Abierto | Filtrado
201,Filtrado,none,Abierto | Filtrado
202,Filtrado,none,Abierto | Filtrado
203,Filtrado,none,Abierto | Filtrado
204,Filtrado,none,Abierto | Filtrado
205,Filtrado,none,Abierto | Filtrado
206,Filtrado,none,Abierto | Filtrado
207,Filtrado,none,Abierto | Filtrado
208,Filtrado,none,Abierto | Filtrado
209,Filtrado,none,Abierto | Filtrado
210,Filtrado,none,Abierto | Filtrado
211,Filtrado,none,Abierto | Filtrado
212,Filtrado,none,Abierto | Filtrado
213,Filtrado,none,Abierto | Filtrado
214,Filtrado,none,Abierto | Filtrado
215,Filtrado,none,Abierto | Filtrado
216,Filtrado,none,Abierto | Filtrado
217,Filtrado,none,Abierto | Filtrado
218,Filtrado,none,Abierto | Filtrado
219,Filtrado,none,Abierto | Filtrado
220,Filtrado,none,Abierto | Filtrado
221,Filtrado,none,Abierto | Filtrado
222,Filtrado,none,Abierto | Filtrado
