port,TCP,TCPflag,UDP
197,Filtrado,none,Cerrado
198,Filtrado,none,Cerrado
199,Filtrado,none,Cerrado
200,Filtrado,none,Cerrado
201,Filtrado,none,Cerrado
202,Filtrado,none,Cerrado
203,Filtrado,none,Cerrado
204,Filtrado,none,Cerrado
205,Filtrado,none,Cerrado
206,Filtrado,none,Cerrado
207,Filtrado,none,Cerrado
208,Filtrado,none,Cerrado
209,Filtrado,none,Cerrado
210,Filtrado,none,Cerrado
211,Filtrado,none,Cerrado
212,Filtrado,none,Cerrado
213,Filtrado,none,Cerrado
214,Filtrado,none,Cerrado
215,Filtrado,none,Cerrado
216,Filtrado,none,Cerrado
217,Filtrado,none,Cerrado
218,Filtrado,none,Cerrado
219,Filtrado,none,Cerrado
220,Filtrado,none,Cerrado
221,Filtrado,none,Cerrado
222,Filtrado,none,Cerrado
223,Filtrado,none,Cerrado
224,Filtrado,none,Cerrado
225,Filtrado,none,Cerrado
226,Filtrado,none,Cerrado
227,Filtrado,none,Cerrado
228,Filtrado,none,Cerrado
229,Filtrado,none,Cerrado
230,Filtrado,none,Cerrado
231,Filtrado,none,Cerrado
232,Filtrado,none,Cerrado
233,Filtrado,none,Cerrado
234,Filtrado,none,Cerrado
235,Filtrado,none,Cerrado
236,Filtrado,none,Cerrado
237,Filtrado,none,Cerrado
238,Filtrado,none,Cerrado
239,Filtrado,none,Cerrado
240,Filtrado,none,Cerrado
241,Filtrado,none,Cerrado
242,Filtrado,none,Cerrado
243,Filtrado,none,Cerrado
244,Filtrado,none,Cerrado
245,Filtrado,none,Cerrado
246,Filtrado,none,Cerrado
247,Filtrado,none,Cerrado
248,Filtrado,none,Cerrado
249,Filtrado,none,Cerrado
250,Filtrado,none,Cerrado
251,Filtrado,none,Cerrado
252,Filtrado,none,Cerrado
253,Filtrado,none,Cerrado
254,Filtrado,none,Cerrado
255,Filtrado,none,Cerrado
256,Filtrado,none,Cerrado
257,Filtrado,none,Cerrado
258,Filtrado,none,Cerrado
259,Filtrado,none,Cerrado
260,Filtrado,none,Cerrado
261,Filtrado,none,Cerrado
262,Filtrado,none,Cerrado
263,Filtrado,none,Cerrado
264,Filtrado,none,Cerrado
265,Filtrado,none,Cerrado
266,Filtrado,none,Cerrado
267,Filtrado,none,Cerrado
268,Filtrado,none,Cerrado
269,Filtrado,none,Cerrado
270,Filtrado,none,Cerrado
271,Filtrado,none,Cerrado
272,Filtrado,none,Cerrado
273,Filtrado,none,Cerrado
274,Filtrado,none,Cerrado
275,Filtrado,none,Cerrado
276,Filtrado,none,Cerrado
277,Filtrado,none,Cerrado
278,Filtrado,none,Cerrado
279,Filtrado,none,Cerrado
280,Filtrado,none,Cerrado
281,Filtrado,none,Cerrado
282,Filtrado,none,Cerrado
283,Filtrado,none,Cerrado
284,Filtrado,none,Cerrado
285,Filtrado,none,Cerrado
286,Filtrado,none,Cerrado
287,Filtrado,none,Cerrado
